Id,URL,Player,Age,Born,Position,BatThrow,HtWt,Career,Draft,Season,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SF,SH,E,AVG,SLG,OBP,OPS
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,23,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2017,두산,125,330,297,60,77,13,4,3,107,26,7,5,21,4,55,2,0,8,15,0.259,0.36,0.317,0.677
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,24,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2018,두산,128,280,228,52,61,7,0,1,71,29,7,2,29,10,43,3,2,11,4,0.268,0.311,0.372,0.683
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,25,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2019,두산,118,316,276,36,69,6,2,0,79,34,18,5,24,7,40,6,3,6,11,0.25,0.286,0.323,0.609
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,26,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2020,KIA,25,51,42,13,16,3,0,1,22,5,1,1,1,5,6,3,2,1,4,0.381,0.524,0.44,0.964
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,27,1994-01-13,SS,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2021,KIA,92,327,273,37,76,8,0,2,90,34,0,0,42,7,46,7,3,2,8,0.278,0.33,0.385,0.715
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,28,1994-01-13,3B,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2022,KIA,127,477,405,55,111,19,2,2,140,48,8,4,56,6,83,6,2,8,13,0.274,0.346,0.369,0.715
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,29,1994-01-13,3B,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2023,삼성,132,522,455,63,122,11,1,2,141,45,26,2,46,6,73,12,5,10,6,0.268,0.31,0.34,0.65
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,30,1994-01-13,2B,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2024,삼성,100,348,302,43,78,9,1,3,98,36,11,4,33,6,70,7,2,5,7,0.258,0.325,0.341,0.666
62234,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=62234,류지혁,31,1994-01-13,2B,L/R,181cm/75kg,청원초-선린중-충암고-두산-상무-두산-KIA,12 두산 4라운드 36순위,2025,삼성,129,464,400,54,112,14,0,1,129,37,11,6,33,13,73,11,4,14,5,0.28,0.323,0.351,0.674
94106,https://www.koreabaseball.com/Record/Retire/Hitter.aspx?playerId=94106,류지현,23,1971-05-25,SS,R/R,176cm/70kg,충암초-충암중-충암고-한양대-LG,94 LG 1차,1994,LG,126,574,482,109,147,20,0,15,212,51,51,10,64,8,60,4,6,14,24,0.305,0.44,0.391,0.831
