gameId,gameDate,homeTeam,awayTeam,homeScore,awayScore
20210702HHLG02021,20210702,LG,HH,3,5
20210702LTSK02021,20210702,SK,LT,5,6
20210702OBHT02021,20210702,HT,OB,8,3
20210702SSNC02021,20210702,NC,SS,2,5
20210702WOKT02021,20210702,KT,WO,4,1
20210704RDS1,20210704,,,0,0
20210704HHLG02021,20210704,LG,HH,5,0
20210704LTSK02021,20210704,SK,LT,4,6
20210704OBHT02021,20210704,HT,OB,7,3
20210704SSNC02021,20210704,NC,SS,0,5
20210704WOKT02021,20210704,KT,WO,12,3
20210705SBOBB1,20210705,,,0,0
20210705RDS1,20210705,,,0,0
20210705WOKT02021,20210705,KT,WO,5,15
20210705LTSK02021,20210705,SK,LT,10,4
20210705HHLG02021,20210705,LG,HH,7,6
20210705SBOBB2,20210705,,,0,0
20210706NCLG1,20210706,,,0,0
20210707HTHH02021,20210707,HH,HT,1,4
20210706NCOB02021,20210706,OB,NC,3,7
20210706SKWO02021,20210706,WO,SK,4,0
20210707NCOB02021,20210707,OB,NC,4,2
20210707SKWO02021,20210707,WO,SK,8,2
20210708NCLG1,20210708,,,0,0
20210708KTSS02021,20210708,SS,KT,2,3
20210708SKWO02021,20210708,WO,SK,3,9
20210709RDS1,20210709,,,0,0
20210709HHSK02021,20210709,SK,HH,3,9
20210710HHSK02021,20210710,SK,HH,1,3
20210710SSG1,20210710,,,0,0
20210709LTSS02021,20210709,SS,LT,5,9
20210709KTHT02021,20210709,HT,KT,10,4
20210710LTSS02021,20210710,SS,LT,3,2
20210711SSG1,20210711,,,0,0
20210711HHSK02021,20210711,SK,HH,8,2
20210711KTHT02021,20210711,HT,KT,2,0
20210711LTSS02021,20210711,SS,LT,11,0
20210712DOCU1,20210712,,,0,0
20210719fgro2,20210719,,,0,0
20210723KBOPG1,20210723,,,0,0
20210724KBOPG1,20210724,,,0,0
20210725KBO1,20210725,,,0,0
20210726BB1,20210726,,,0,0
KBOFUTURESSGDS1,20210804,,,0,0
20210802OBS1,20210802,,,0,0
20210803FUTURESSGDS1,20210803,,,0,0
20210805KBOFUTURESSGDS1,20210805,,,0,0
20210809OBS1,20210809,,,0,0
20210810HHHT02021,20210810,HT,HH,4,1
20210810KTWO02021,20210810,WO,KT,3,1
20210810LTNC02021,20210810,NC,LT,2,5
20210810SKLG02021,20210810,LG,SK,4,0
20210811FU1,20210811,,,0,0
20210811HHHT02021,20210811,HT,HH,7,7
20210811KTWO02021,20210811,WO,KT,4,1
20210811LTNC02021,20210811,NC,LT,4,5
20210811OBSS02021,20210811,SS,OB,6,8
20210812HHBB802,20210812,,,0,0
20210811SKLG02021,20210811,LG,SK,12,5
20210812HHBB8,20210812,,,0,0
20210812KTWO02021,20210812,WO,KT,6,4
20210812FU1,20210812,,,0,0
20210812LTNC02021,20210812,NC,LT,5,4
20210812OBSS02021,20210812,SS,OB,9,2
20210813HHBB1,20210813,,,0,0
20210813HHBB2,20210813,,,0,0
20210813HTSK02021,20210813,SK,HT,1,8
20210813SSG1,20210813,,,0,0
20210813LTLG02021,20210813,LG,LT,0,2
20210813NCHH02021,20210813,HH,NC,1,5
20210813OBWO02021,20210813,WO,OB,9,16
20210813SSKT02021,20210813,KT,SS,7,6
20210814SSG1,20210814,,,0,0
20210814NCHH02021,20210814,HH,NC,9,9
20210814HTSK02021,20210814,SK,HT,2,2
20210814OBWO02021,20210814,WO,OB,5,1
20210814LTLG02021,20210814,LG,LT,3,4
